Timestamp,Temperatura_C,CO_Voltagem_mV,CO_PPM
2026-06-11 21:18:10,29.5,89,0.01,0.01
2026-06-11 21:18:10,29.5,89,0.01,0.01
2026-06-11 21:18:11,29.5,89,0.01,0.01
2026-06-11 21:18:12,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:26,29.5,90,0.01,0.01
2026-06-11 21:18:27,29.5,90,0.01,0.01
2026-06-11 21:18:28,29.5,90,0.01,0.01
2026-06-11 21:18:29,29.5,90,0.01,0.01
2026-06-11 21:18:30,29.5,90,0.01,0.01
2026-06-11 21:18:31,29.5,90,0.01,0.01
2026-06-11 21:18:32,29.5,90,0.01,0.01
2026-06-11 21:18:33,29.5,90,0.01,0.01
2026-06-11 21:18:34,29.5,90,0.01,0.01
