Timestamp,Temperatura_C,CO_Voltagem_mV,CO_PPM
2026-06-11 21:18:10,29.5,89,0.01
2026-06-11 21:18:11,29.5,89,0.01
2026-06-11 21:18:12,29.5,90,0.01
2026-06-11 21:18:26,29.5,90,0.01
2026-06-11 21:18:27,29.5,90,0.01
2026-06-11 21:18:28,29.5,90,0.01
2026-06-11 21:18:29,29.5,90,0.01
2026-06-11 21:18:30,29.5,90,0.01
2026-06-11 21:18:31,29.5,90,0.01
2026-06-11 21:18:32,29.5,90,0.01
2026-06-11 21:18:33,29.5,90,0.01
2026-06-11 21:18:34,29.5,90,0.01
2026-06-14 20:42:51,28.5,958,0.59
2026-06-14 20:42:52,28.5,1027,0.68
2026-06-14 20:42:53,28.5,1087,0.76
2026-06-14 20:42:54,28.5,1132,0.82
2026-06-14 20:42:55,28.5,1158,0.86
2026-06-14 20:42:56,28.5,1157,0.86
2026-06-14 20:42:57,28.0,1174,0.88
2026-06-14 20:42:58,28.0,1178,0.89
2026-06-14 20:42:59,28.5,1175,0.88
2026-06-14 20:43:00,28.5,1168,0.87
2026-06-14 20:43:01,28.5,1158,0.86
2026-06-14 20:43:02,28.5,1145,0.84
2026-06-14 20:43:03,28.5,1126,0.81
2026-06-14 20:43:04,28.5,1100,0.78
2026-06-14 20:43:05,28.5,1061,0.72
2026-06-14 20:43:06,28.0,1009,0.66
2026-06-14 20:43:07,28.0,946,0.58
2026-06-14 20:43:08,28.0,870,0.5
2026-06-14 20:43:09,28.0,786,0.41
2026-06-14 20:43:10,28.5,695,0.33
2026-06-14 20:43:11,28.5,600,0.26
2026-06-14 20:43:12,28.5,503,0.19
2026-06-14 20:43:13,28.5,407,0.13
2026-06-14 20:43:14,28.5,319,0.09
2026-06-14 20:43:15,28.5,243,0.06
2026-06-14 20:43:16,28.5,192,0.04
2026-06-14 20:43:17,28.5,167,0.03
2026-06-14 20:43:18,28.0,154,0.03
2026-06-14 20:43:19,28.5,146,0.03
2026-06-14 20:43:20,28.5,140,0.02
2026-06-14 20:43:21,28.0,136,0.02
2026-06-14 20:43:22,28.5,132,0.02
2026-06-14 20:43:23,28.0,128,0.02
2026-06-14 20:43:24,28.5,124,0.02
2026-06-14 20:43:25,28.0,122,0.02
2026-06-14 20:43:26,28.5,120,0.02
2026-06-14 20:43:27,28.5,117,0.02
2026-06-14 20:43:28,28.5,116,0.02
2026-06-14 20:43:29,28.5,113,0.02
2026-06-14 20:43:30,28.0,112,0.02
2026-06-14 20:43:31,28.0,110,0.02
2026-06-14 20:43:32,28.0,109,0.02
2026-06-14 20:43:33,28.0,107,0.02
2026-06-14 20:43:34,28.5,107,0.02
2026-06-14 20:43:35,28.0,106,0.02
2026-06-14 20:43:36,28.0,105,0.02
2026-06-14 20:43:37,28.0,104,0.01
2026-06-14 20:43:38,28.0,103,0.01
2026-06-14 20:43:39,28.5,103,0.01
2026-06-14 20:43:40,28.0,103,0.01
2026-06-14 20:43:41,28.5,102,0.01
2026-06-14 20:43:42,28.5,101,0.01
2026-06-14 20:43:43,28.0,101,0.01
2026-06-14 20:43:44,28.5,100,0.01
2026-06-14 20:43:45,28.5,99,0.01
2026-06-14 20:43:46,28.0,99,0.01
2026-06-14 20:43:47,28.5,99,0.01
2026-06-14 20:43:48,28.0,99,0.01
2026-06-14 20:43:49,28.0,99,0.01
2026-06-14 20:43:50,28.0,99,0.01
2026-06-14 20:43:51,28.5,98,0.01
2026-06-14 20:43:52,28.5,98,0.01
2026-06-14 20:43:53,28.0,98,0.01
2026-06-14 20:43:54,28.0,98,0.01
2026-06-14 20:43:55,28.0,98,0.01
2026-06-14 20:43:56,28.0,98,0.01
